GraphSIF_BUs,Month,Is_anomolous,top_feature_1,top_feature_2,top_feature_3,top_feature_4,top_feature_5,Hist_average_1,Hist_average_2,Hist_average_3,Hist_average_4,Hist_average_5,Test_hstgm_1,Test_hstgm_2,Test_hstgm_3,Test_hstgm_4,Test_hstgm_5
USBFC,2021_3,0.0,1_1_1_Total_Amt,1_2_1_Pattern_Count,1_2_1_Total_Amt,1_1_1_Pattern_Count,1_1_2_Pattern_Count,239035.6497039795,0.20833333333333334,4531.65791575114,37.166666666666664,0.08333333333333333,524187.1651611328,0.0,0.0,32.0,0.0
70012,2021_3,0.0,2_2_2_Pattern_Count,1_1_2_Total_Amt,1_1_2_Pattern_Count,1_1_1_Total_Amt,1_2_1_Pattern_Count,0.041666666666666664,121448.49794260661,2.8333333333333335,25306496.8405482,5.583333333333333,1.0,775770.4759521484,7.0,19111453.93395996,3.0
10100,2021_3,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_2_1_Total_Amt,1_7_1_Pattern_Count,1_1_17_Total_Amt,15.041666666666666,88111.52450434367,175.56375122070312,0.0,0.0,22.0,138117.61987304688,0.0,0.0,0.0
Bu_Monthly_0_10,2021_3,0.0,1_1_1_Pattern_Count,1_1_2_Pattern_Count,2_1_1_Pattern_Count,1_1_2_Total_Amt,2_1_1_Total_Amt,39.291666666666664,1.6666666666666667,1.0416666666666667,9136501.927485147,223418.1030782064,27.0,0.0,0.0,0.0,0.0
CAGCA,2021_3,0.0,1_2_2_Pattern_Count,1_2_2_Total_Amt,2_1_2_Pattern_Count,1_1_1_Pattern_Count,2_1_2_Total_Amt,0.041666666666666664,93.75,0.4583333333333333,105.83333333333333,417588.4749704997,1.0,1500.0,0.0,103.0,0.0
10508,2021_3,0.0,1_1_1_Pattern_Count,2_1_1_Pattern_Count,1_2_1_Pattern_Count,2_1_1_Total_Amt,2_2_1_Total_Amt,54.791666666666664,0.5,1.4583333333333333,94736.49192301433,11737.218783060709,39.0,0.0,2.0,0.0,0.0
80350,2021_3,0.0,1_1_1_Pattern_Count,2_2_1_Pattern_Count,1_2_1_Total_Amt,2_2_1_Total_Amt,1_2_1_Pattern_Count,15.666666666666666,0.16666666666666666,228794.28877766928,16019.521158854166,0.875,19.0,0.0,822183.48046875,0.0,1.0
USBFD,2021_3,0.0,1_1_2_Pattern_Count,1_1_2_Total_Amt,1_2_1_Pattern_Count,1_1_1_Pattern_Count,1_2_1_Total_Amt,0.3333333333333333,2333.966252644857,1.0,24.916666666666668,10638.674199422201,2.0,15206.890380859375,0.0,20.0,0.0
USBFJ,2021_3,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_2_1_Pattern_Count,1_2_1_Total_Amt,1_1_2_Total_Amt,28.833333333333332,107702.11087544759,0.20833333333333334,1416.8591588338215,82.21625010172527,42.0,153189.05850219727,0.0,0.0,0.0
USBFA,2021_3,0.0,1_1_2_Pattern_Count,1_1_2_Total_Amt,1_1_1_Pattern_Count,1_1_3_Pattern_Count,1_1_3_Total_Amt,2.7916666666666665,9563.912914276123,30.0,0.5416666666666666,1607.652084350586,0.0,0.0,39.0,0.0,0.0
10008,2021_3,0.0,1_2_2_Total_Amt,3_3_1_Total_Amt,5_7_1_Pattern_Count,1_1_3_Pattern_Count,5_7_1_Total_Amt,264945.80184173584,1189770.4195505779,0.041666666666666664,1.5,139053.8777770996,1946134.67578125,14479911.553344727,1.0,6.0,2454138.9353027344
10028,2021_3,0.0,1_1_1_Total_Amt,1_1_1_Pattern_Count,2_1_1_Total_Amt,2_1_1_Pattern_Count,1_5_1_Pattern_Count,4056066.242746989,43.333333333333336,671833.2004140218,3.625,0.0,4698291.777954102,24.0,0.0,0.0,0.0
72061,2021_3,0.0,2_1_1_Pattern_Count,1_2_1_Pattern_Count,2_2_1_Total_Amt,1_3_1_Total_Amt,1_3_1_Pattern_Count,3.1666666666666665,1.125,72521.15633392334,79.12708282470703,0.041666666666666664,8.0,0.0,79296.9677734375,0.0,0.0
10118,2021_3,0.0,1_1_1_Total_Amt,1_1_3_Total_Amt,1_2_1_Pattern_Count,1_2_1_Total_Amt,1_1_1_Pattern_Count,7457952.986991882,479882.3754577637,0.8333333333333334,551410.2891311646,11.875,19242610.897705078,266250.0,1.0,590269.6759033203,14.0
Bu_Monthly_10_20,2021_3,0.0,2_1_1_Total_Amt,1_1_1_Total_Amt,1_1_1_Pattern_Count,2_1_1_Pattern_Count,2_2_1_Total_Amt,123683.40594482422,25702747.3129247,54.833333333333336,0.4583333333333333,4595.944661458333,480073.189453125,44710132.68048096,65.0,1.0,0.0
Bu_Monthly_20_30,2021_3,0.0,1_1_1_Total_Amt,1_1_1_Pattern_Count,1_1_2_Pattern_Count,2_1_1_Total_Amt,1_3_1_Pattern_Count,17541441.262989044,111.16666666666667,1.0416666666666667,98695.56744130452,0.5416666666666666,7838809.630401611,88.0,0.0,30349.279296875,1.0
80200,2021_3,0.0,2_2_1_Pattern_Count,1_1_1_Total_Amt,2_2_1_Total_Amt,2_1_1_Pattern_Count,1_2_1_Pattern_Count,0.7083333333333334,4740939.325795491,94127.73912556966,3.2916666666666665,1.4583333333333333,2.0,1056232.630493164,208623.0,2.0,2.0
