GraphSIF_BUs,Month,Is_anomolous,top_feature_1,top_feature_2,top_feature_3,top_feature_4,top_feature_5,Hist_average_1,Hist_average_2,Hist_average_3,Hist_average_4,Hist_average_5,Test_hstgm_1,Test_hstgm_2,Test_hstgm_3,Test_hstgm_4,Test_hstgm_5
Bu_Monthly_0_10,2021_6,0.0,1_2_1_Total_Amt,1_1_1_Total_Amt,1_1_1_Pattern_Count,1_1_3_Total_Amt,2_1_1_Total_Amt,4858.343310038249,27476765.7566185,38.375,286017.25,188046.05099487305,105451.6904296875,71819023.65716553,25.0,0.0,1500.0
Bu_Monthly_20_30,2021_6,0.0,1_2_1_Pattern_Count,1_1_2_Pattern_Count,1_1_1_Pattern_Count,1_4_1_Pattern_Count,1_1_2_Total_Amt,3.3333333333333335,1.4583333333333333,149.0,0.5,16647.96352640788,0.0,0.0,123.0,0.0,0.0
10028,2021_6,0.0,1_1_1_Total_Amt,1_1_1_Pattern_Count,2_1_1_Total_Amt,2_1_1_Pattern_Count,1_6_1_Total_Amt,4324272.497061412,44.291666666666664,671833.2004140218,3.625,0.0,2830423.875,5.0,0.0,0.0,0.0
10100,2021_6,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_2_1_Total_Amt,1_2_1_Pattern_Count,1_7_1_Total_Amt,15.708333333333334,96684.85035832722,175.56375122070312,0.041666666666666664,0.0,22.0,114062.59094238281,0.0,0.0,0.0
USBFA,2021_6,0.0,1_2_1_Total_Amt,1_2_1_Pattern_Count,1_1_1_Total_Amt,1_1_1_Pattern_Count,1_1_2_Pattern_Count,826.8791681925455,0.16666666666666666,140854.37873077393,31.041666666666668,2.4166666666666665,8604.990112304688,1.0,73148.8903503418,29.0,2.0
Bu_Monthly_10_20,2021_6,0.0,2_1_1_Pattern_Count,2_1_1_Total_Amt,1_1_2_Pattern_Count,1_2_1_Pattern_Count,1_1_1_Pattern_Count,0.5416666666666666,162554.43174235025,0.4583333333333333,0.375,50.625,0.0,0.0,0.0,0.0,57.0
10118,2021_6,0.0,1_1_3_Total_Amt,1_1_1_Pattern_Count,1_2_1_Pattern_Count,1_2_1_Total_Amt,1_1_1_Total_Amt,437330.29212443036,12.041666666666666,0.75,584826.6129277548,7198239.06556956,243750.0,12.0,0.0,0.0,5853467.163757324
80200,2021_6,0.0,1_2_1_Total_Amt,2_2_1_Pattern_Count,1_1_1_Total_Amt,2_2_1_Total_Amt,1_2_1_Pattern_Count,185966.48949432373,0.6666666666666666,4482675.969660441,88196.36089070638,1.4583333333333333,648124.09375,0.0,1892064.0416870117,0.0,2.0
CAGCA,2021_6,0.0,1_1_2_Pattern_Count,1_2_1_Pattern_Count,2_2_1_Pattern_Count,2_1_2_Pattern_Count,2_1_1_Pattern_Count,2.9166666666666665,1.375,0.375,0.5,1.2083333333333333,9.0,0.0,1.0,1.0,0.0
10008,2021_6,0.0,2_4_2_Total_Amt,3_1_1_Pattern_Count,2_4_2_Pattern_Count,1_4_2_Total_Amt,1_4_2_Pattern_Count,240572.54393513998,1.625,0.08333333333333333,18060.44974263509,0.20833333333333334,4030700.061706543,4.0,1.0,148941.830078125,1.0
USBFJ,2021_6,0.0,1_1_2_Pattern_Count,1_1_2_Total_Amt,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_2_1_Total_Amt,0.16666666666666666,355.76625061035156,29.5,111011.81903330486,1623.2670771280925,2.0,4727.4500732421875,45.0,129316.55010986328,11313.809631347656
USBFC,2021_6,0.0,1_1_1_Total_Amt,1_1_1_Pattern_Count,1_2_1_Pattern_Count,1_2_1_Total_Amt,1_7_1_Total_Amt,257404.39549763998,34.625,0.125,4004.497517903646,0.0,100528.84033203125,21.0,0.0,0.0,0.0
72061,2021_6,0.0,1_2_1_Pattern_Count,2_2_1_Total_Amt,1_1_2_Pattern_Count,1_1_1_Pattern_Count,2_2_1_Pattern_Count,0.9583333333333334,68883.31203969319,0.6666666666666666,76.25,0.9166666666666666,0.0,77573.06994628906,0.0,56.0,1.0
10508,2021_6,0.0,2_2_1_Total_Amt,1_2_1_Total_Amt,2_2_1_Pattern_Count,1_1_1_Pattern_Count,2_1_1_Pattern_Count,0.0,24215.92724609375,0.0,52.458333333333336,0.5,19007.17010498047,63396.248931884766,1.0,39.0,0.0
70012,2021_6,0.0,2_2_1_Pattern_Count,2_1_1_Pattern_Count,1_3_1_Pattern_Count,2_1_1_Total_Amt,2_2_1_Total_Amt,1.2916666666666667,5.791666666666667,0.2916666666666667,1353448.4294128418,83209.54545466106,0.0,10.0,0.0,1851116.6350097656,0.0
