GraphSIF_BUs,Month,Is_anomolous,top_feature_1,top_feature_2,top_feature_3,top_feature_4,top_feature_5,Hist_average_1,Hist_average_2,Hist_average_3,Hist_average_4,Hist_average_5,Test_hstgm_1,Test_hstgm_2,Test_hstgm_3,Test_hstgm_4,Test_hstgm_5
CAPCP,2021_2,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_2_1_Total_Amt,1_2_1_Pattern_Count,1_1_3_Total_Amt,31.48,162555.93883300782,532.7020092773438,0.2,635.4263854980469,2.0,3762.2999267578125,0.0,0.0,0.0
Bu_Monthly_10_20,2021_2,0.0,2_1_1_Total_Amt,1_1_2_Pattern_Count,2_1_1_Pattern_Count,1_1_1_Total_Amt,1_2_1_Total_Amt,352956.9459765625,0.72,1.56,26568388.83338623,530438.3514160156,33012.1796875,0.0,1.0,18734329.045043945,3128.77001953125
Bu_Monthly_0_10,2021_2,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_1_2_Pattern_Count,1_1_2_Total_Amt,2_1_1_Pattern_Count,37.04,72233160.93857422,1.6,8771041.850385742,0.76,26.0,5826324.515869141,0.0,0.0,0.0
Bu_Monthly_20_30,2021_2,0.0,1_2_1_Total_Amt,1_1_1_Total_Amt,1_1_2_Total_Amt,1_1_1_Pattern_Count,1_4_1_Total_Amt,19854.836149902345,16901194.389820557,6913.059702148437,111.88,17228.507858886718,99880.421875,31226612.069519043,23857.58935546875,68.0,65444.70178222656
80200,2021_2,0.0,1_1_1_Pattern_Count,1_2_1_Total_Amt,2_2_1_Pattern_Count,2_1_1_Pattern_Count,1_1_1_Total_Amt,75.0,178143.6539453125,0.72,3.64,4780700.032692871,45.0,654649.1300048828,0.0,1.0,1728309.2550048828
10008,2021_2,0.0,1_1_5_Total_Amt,4_6_1_Total_Amt,1_1_5_Pattern_Count,4_6_1_Pattern_Count,1_4_2_Pattern_Count,0.0,346378.4102587891,0.0,0.12,0.12,9730.580139160156,5442247.391113281,5.0,1.0,1.0
USBFJ,2021_2,0.0,1_1_1_Pattern_Count,1_2_1_Pattern_Count,1_2_1_Total_Amt,1_1_1_Total_Amt,1_1_2_Total_Amt,27.8,0.2,1360.1847924804688,106587.23242675781,78.92760009765625,37.0,0.0,0.0,116167.6801147461,0.0
10028,2021_2,0.0,1_1_1_Total_Amt,1_1_1_Pattern_Count,2_1_1_Total_Amt,2_1_1_Pattern_Count,1_6_2_Total_Amt,4011599.3720605467,42.32,644959.872397461,3.48,0.0,4515051.0986328125,19.0,0.0,0.0,0.0
10118,2021_2,0.0,1_1_3_Total_Amt,1_2_1_Pattern_Count,1_2_1_Total_Amt,1_1_1_Total_Amt,1_1_1_Pattern_Count,504036.1472363281,0.76,503263.4624487305,7418609.155209961,11.92,306875.0,1.0,652260.3779296875,3188193.651184082,12.0
CAGCA,2021_2,0.0,1_2_2_Total_Amt,2_1_2_Total_Amt,1_2_2_Pattern_Count,2_2_1_Pattern_Count,1_1_2_Total_Amt,0.0,297996.7280029297,0.0,0.56,1620565.4487280273,2250.0,2572205.19921875,1.0,1.0,100082.41076660156
USBFC,2021_2,0.0,1_1_1_Total_Amt,1_2_1_Pattern_Count,1_2_1_Total_Amt,1_1_1_Pattern_Count,1_1_2_Total_Amt,236806.20781494142,0.28,4776.424001464844,36.8,239.16,153752.98974609375,0.0,0.0,37.0,0.0
USBFA,2021_2,0.0,1_1_1_Total_Amt,1_1_3_Pattern_Count,1_1_3_Total_Amt,1_2_1_Pattern_Count,1_2_1_Total_Amt,145045.4782373047,0.52,1543.3460009765624,0.12,731.5640014648437,91326.00952148438,0.0,0.0,0.0,0.0
70012,2021_2,0.0,1_2_1_Pattern_Count,1_1_2_Pattern_Count,1_1_1_Total_Amt,1_1_2_Total_Amt,1_2_1_Total_Amt,5.84,2.6,26510247.185472414,105281.73737548829,813060.7460070801,2.0,6.0,17192066.477416992,295648.6162109375,369054.46484375
80350,2021_2,0.0,1_1_2_Total_Amt,1_1_2_Pattern_Count,1_2_1_Pattern_Count,2_1_1_Pattern_Count,1_3_1_Total_Amt,21111.64837890625,0.44,0.88,0.64,537511.7927001953,0.0,0.0,0.0,0.0,614231.48046875
10100,2021_2,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_2_1_Total_Amt,1_7_1_Pattern_Count,2_1_1_Pattern_Count,14.68,88496.68272827148,168.541201171875,0.0,0.0,17.0,80408.18994140625,0.0,0.0,0.0
Low_window_Bu,2021_2,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_1_2_Total_Amt,1_6_2_Total_Amt,2_1_1_Pattern_Count,1.6428571428571428,85604.56742204938,0.0,0.0,0.0,1.0,5000.0,0.0,0.0,0.0
10508,2021_2,0.0,2_1_1_Pattern_Count,1_2_1_Pattern_Count,2_1_1_Total_Amt,1_1_1_Pattern_Count,1_2_1_Total_Amt,0.48,1.52,87445.13951171875,56.64,24620.02736328125,1.0,1.0,189780.849609375,48.0,18087.77032470703
72061,2021_2,0.0,2_2_1_Total_Amt,1_2_1_Pattern_Count,2_2_1_Pattern_Count,1_1_2_Pattern_Count,1_1_1_Pattern_Count,66351.52089111328,1.12,0.88,0.72,77.0,81719.72973632812,0.0,1.0,0.0,62.0
