GraphSIF_BUs,Month,Is_anomolous,top_feature_1,top_feature_2,top_feature_3,top_feature_4,top_feature_5,Hist_average_1,Hist_average_2,Hist_average_3,Hist_average_4,Hist_average_5,Test_hstgm_1,Test_hstgm_2,Test_hstgm_3,Test_hstgm_4,Test_hstgm_5
USBFJ,2021_4,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_2_1_Total_Amt,1_2_1_Pattern_Count,2_1_1_Pattern_Count,28.0,107302.92995071411,1278.3708267211914,0.16666666666666666,0.0,46.0,178738.82077026367,0.0,0.0,0.0
10100,2021_4,0.0,1_1_1_Total_Amt,1_1_1_Pattern_Count,1_2_1_Total_Amt,1_2_1_Pattern_Count,2_1_1_Pattern_Count,90624.67116165161,15.333333333333334,175.56375122070312,0.041666666666666664,0.0,142729.54010009766,18.0,0.0,0.0,0.0
10008,2021_4,0.0,2_6_2_Total_Amt,1_7_1_Total_Amt,4_5_1_Pattern_Count,4_5_1_Total_Amt,3_4_1_Pattern_Count,67725.27707417806,46644.243129730225,0.125,438492.5293477376,1.3333333333333333,584105.9968261719,281913.1494445801,1.0,2808554.6592407227,3.0
Bu_Monthly_0_10,2021_4,0.0,1_1_2_Total_Amt,1_1_2_Pattern_Count,2_1_1_Pattern_Count,2_1_1_Total_Amt,1_1_1_Pattern_Count,9136501.927485147,1.6666666666666667,1.0416666666666667,223418.1030782064,38.5,50890777.0,6.0,0.0,0.0,35.0
USBFC,2021_4,0.0,1_1_1_Pattern_Count,1_2_1_Pattern_Count,1_2_1_Total_Amt,1_1_1_Total_Amt,1_1_2_Pattern_Count,36.833333333333336,0.20833333333333334,4531.65791575114,244469.52112833658,0.08333333333333333,19.0,0.0,0.0,237089.14227294922,0.0
Low_window_Bu,2021_4,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_1_17_Total_Amt,1_7_1_Pattern_Count,2_1_1_Total_Amt,1.6153846153846154,91353.1495314378,0.0,0.0,0.0,1.0,499487.0,0.0,0.0,0.0
Bu_Monthly_10_20,2021_4,0.0,1_1_1_Total_Amt,2_1_1_Pattern_Count,2_1_1_Total_Amt,1_1_2_Pattern_Count,1_2_1_Pattern_Count,2214029.0652631125,0.5,143686.4555053711,0.5833333333333334,0.375,3479539.4657592773,0.0,0.0,0.0,0.0
80200,2021_4,0.0,2_2_1_Pattern_Count,2_1_1_Pattern_Count,2_2_1_Total_Amt,1_1_1_Pattern_Count,1_1_2_Pattern_Count,0.75,3.25,95487.53079223633,72.125,0.5833333333333334,0.0,5.0,0.0,59.0,0.0
70012,2021_4,0.0,2_1_1_Pattern_Count,2_3_1_Pattern_Count,1_1_1_Total_Amt,1_1_2_Pattern_Count,2_1_1_Total_Amt,5.083333333333333,0.08333333333333333,24999536.20569102,3.0416666666666665,1375964.4017003377,16.0,1.0,16737289.573791504,6.0,335905.43908691406
80350,2021_4,0.0,1_3_1_Total_Amt,2_1_1_Pattern_Count,1_1_1_Total_Amt,1_2_1_Pattern_Count,2_1_1_Total_Amt,564510.7249806722,0.6666666666666666,2075184.5279095967,0.875,446120.3380686442,573733.2501220703,1.0,2735165.689147949,1.0,75241.27307128906
10028,2021_4,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,2_1_1_Total_Amt,2_1_1_Pattern_Count,1_7_1_Pattern_Count,43.583333333333336,4085512.1345977783,671833.2004140218,3.625,0.0,19.0,2973775.5853881836,0.0,0.0,0.0
Bu_Monthly_20_30,2021_4,0.0,1_2_2_Pattern_Count,1_2_2_Total_Amt,1_1_1_Pattern_Count,1_4_1_Pattern_Count,1_3_1_Pattern_Count,0.041666666666666664,144.375,136.29166666666666,0.4583333333333333,0.7916666666666666,1.0,3158.89990234375,89.0,1.0,0.0
CAGCA,2021_4,0.0,1_2_1_Pattern_Count,2_2_1_Pattern_Count,2_1_2_Total_Amt,1_1_2_Total_Amt,1_1_2_Pattern_Count,1.625,0.4583333333333333,417588.4749704997,1696261.7682927449,2.5416666666666665,0.0,0.0,38716.960021972656,58456.36999511719,5.0
10118,2021_4,0.0,1_1_3_Total_Amt,1_1_1_Total_Amt,1_1_1_Pattern_Count,1_2_1_Pattern_Count,1_2_1_Total_Amt,464257.3754577637,7576677.751022339,12.041666666666666,0.8333333333333334,573953.4955978394,266250.0,3788855.6915283203,11.0,0.0,0.0
72061,2021_4,0.0,1_1_2_Pattern_Count,1_2_1_Pattern_Count,2_2_1_Total_Amt,2_2_1_Pattern_Count,1_1_1_Pattern_Count,0.75,1.0,75825.19665781657,1.0,79.08333333333333,2.0,0.0,81328.68151855469,1.0,70.0
USBFA,2021_4,0.0,1_2_1_Pattern_Count,1_1_1_Pattern_Count,1_1_3_Pattern_Count,1_1_3_Total_Amt,1_2_1_Total_Amt,0.125,30.666666666666668,0.5416666666666666,1607.652084350586,762.0458348592123,1.0,39.0,0.0,0.0,1556.0
10508,2021_4,0.0,2_1_1_Total_Amt,2_1_1_Pattern_Count,1_2_1_Pattern_Count,1_1_1_Pattern_Count,1_2_1_Total_Amt,93902.99151865642,0.4583333333333333,1.5416666666666667,54.208333333333336,25626.511881510418,452213.6875,1.0,1.0,46.0,18315.76934814453
