GraphSIF_BUs,Month,Is_anomolous,top_feature_1,top_feature_2,top_feature_3,top_feature_4,top_feature_5,Hist_average_1,Hist_average_2,Hist_average_3,Hist_average_4,Hist_average_5,Test_hstgm_1,Test_hstgm_2,Test_hstgm_3,Test_hstgm_4,Test_hstgm_5
Low_window_Bu,2021_1,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_1_2_Total_Amt,1_6_2_Total_Amt,2_1_1_Pattern_Count,1.5384615384615385,91535.39798208383,0.0,0.0,0.0,3.0,8503.770141601562,0.0,0.0,0.0
72061,2021_1,0.0,2_2_1_Pattern_Count,2_2_1_Total_Amt,1_2_1_Pattern_Count,2_1_1_Pattern_Count,1_1_2_Pattern_Count,0.9166666666666666,69116.16759490967,1.1666666666666667,3.1666666666666665,0.75,0.0,0.0,0.0,1.0,0.0
USBFC,2021_1,0.0,1_1_1_Total_Amt,1_2_1_Pattern_Count,1_2_1_Total_Amt,1_1_1_Pattern_Count,1_1_2_Pattern_Count,230328.9561589559,0.2916666666666667,4975.441668192546,36.875,0.08333333333333333,392260.24755859375,0.0,0.0,35.0,0.0
CAGCA,2021_1,0.0,1_1_3_Total_Amt,1_1_3_Pattern_Count,2_1_2_Pattern_Count,1_1_2_Total_Amt,2_1_2_Total_Amt,0.0,0.0,0.4166666666666667,1684988.6453526814,310413.2583363851,11245.610107421875,3.0,0.0,74408.72973632812,0.0
10118,2021_1,0.0,1_1_1_Pattern_Count,1_1_3_Total_Amt,1_1_1_Total_Amt,1_2_1_Pattern_Count,1_2_1_Total_Amt,11.583333333333334,512197.7033691406,7608487.902292888,0.7916666666666666,524232.77338409424,20.0,308158.8000488281,2861519.2252197266,0.0,0.0
USBFA,2021_1,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_1_2_Pattern_Count,1_1_3_Pattern_Count,1_1_3_Total_Amt,29.833333333333332,141862.46770731607,2.625,0.5416666666666666,1607.652084350586,48.0,221437.73095703125,4.0,0.0,0.0
Bu_Monthly_20_30,2021_1,0.0,2_2_1_Total_Amt,2_2_1_Pattern_Count,1_1_1_Pattern_Count,1_4_1_Total_Amt,1_4_1_Pattern_Count,6226.083333333333,0.08333333333333333,113.75,15008.353182474772,0.375,83091.0,1.0,67.0,70512.22009277344,1.0
80350,2021_1,0.0,1_1_1_Pattern_Count,2_2_1_Pattern_Count,1_2_1_Total_Amt,2_1_1_Total_Amt,1_2_1_Pattern_Count,15.458333333333334,0.16666666666666666,199845.4486287435,420111.52048746747,0.8333333333333334,9.0,1.0,799947.6375732422,107713.52819824219,2.0
10008,2021_1,0.0,2_2_1_Total_Amt,4_6_1_Pattern_Count,1_1_2_Pattern_Count,2_2_1_Pattern_Count,2_5_2_Pattern_Count,8181376.114461263,0.08333333333333333,18.166666666666668,11.791666666666666,0.25,38958964.71508789,1.0,9.0,19.0,1.0
Bu_Monthly_0_10,2021_1,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,2_1_1_Pattern_Count,2_1_1_Total_Amt,1_2_1_Total_Amt,37.583333333333336,74296771.84241231,0.7916666666666666,66035.47807820638,4858.343310038249,24.0,22706499.24645996,0.0,0.0,0.0
Bu_Monthly_10_20,2021_1,0.0,1_2_1_Pattern_Count,1_1_2_Pattern_Count,1_1_1_Total_Amt,2_1_1_Total_Amt,1_1_1_Pattern_Count,0.9166666666666666,0.75,26232226.340578716,344871.73063151044,54.5,0.0,0.0,34636288.6607666,547002.1142578125,63.0
10100,2021_1,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_2_1_Total_Amt,1_2_1_Pattern_Count,1_7_1_Total_Amt,14.833333333333334,89356.6986656189,175.56375122070312,0.041666666666666664,0.0,11.0,67856.3002319336,0.0,0.0,0.0
80200,2021_1,0.0,2_2_1_Total_Amt,2_1_1_Pattern_Count,1_1_2_Pattern_Count,1_1_1_Pattern_Count,1_1_2_Total_Amt,79987.3549601237,3.5833333333333335,0.75,75.45833333333333,1381.0795796712239,425490.5,5.0,0.0,64.0,0.0
10028,2021_1,0.0,2_1_1_Total_Amt,2_1_1_Pattern_Count,1_1_1_Total_Amt,1_1_1_Pattern_Count,1_1_3_Total_Amt,648699.2545623779,3.5416666666666665,4026470.128074646,43.333333333333336,0.0,555214.7004394531,2.0,3654701.227722168,18.0,0.0
10508,2021_1,0.0,2_1_1_Pattern_Count,1_2_1_Pattern_Count,1_2_1_Total_Amt,2_2_1_Total_Amt,2_2_1_Pattern_Count,0.4583333333333333,1.5416666666666667,24909.53682454427,11737.218783060709,0.041666666666666664,1.0,1.0,17671.80029296875,0.0,0.0
CAPCP,2021_1,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_2_1_Total_Amt,1_2_1_Pattern_Count,1_1_3_Total_Amt,32.583333333333336,168801.5171254476,554.8979263305664,0.20833333333333334,661.9024848937988,5.0,12662.059814453125,0.0,0.0,0.0
USBFJ,2021_1,0.0,1_1_1_Pattern_Count,1_1_1_Total_Amt,1_2_1_Pattern_Count,1_2_1_Total_Amt,1_1_2_Total_Amt,28.25,108012.94213358562,0.20833333333333334,1416.8591588338215,82.21625010172527,17.0,72370.19946289062,0.0,0.0,0.0
70012,2021_1,0.0,2_1_1_Pattern_Count,2_2_1_Pattern_Count,2_1_1_Total_Amt,1_1_2_Total_Amt,1_2_1_Total_Amt,4.541666666666667,1.5,1316290.9569244385,99105.05480194092,830976.0971946716,13.0,3.0,358688.7071533203,253522.119140625,383092.3175048828
